,Name,Sign,Type,Definition,Other_words,Indexes,No_words
68,donikąd,"(1, 1)",przysłówek miejsca,żadnego określonego miejsca ,"['żaden', 'określony', 'miejsce']",,3
69,doniosłość,"(1, 1)",rzeczownik,rzecz. odprzym. od: doniosły ,[],['rzecz. odprzym.'],3
70,doniosły,"(1, 1)",przymiotnik jakościowy,dużym znaczeniu ,"['duży', 'znaczenie']",,2
71,donkiszot,"(1, 1)",rzeczownik,"człowiek walczący o szlachetne cele ,  kierujący się wzniosłymi ideami ,  któremu brakuje poczucia rzeczywistości ,  realności swoich planów i dlatego sprawia wrażenie komiczne ","['człowiek', 'walczyć', 'o', 'szlachetny', 'cel', 'kierować się', 'wzniosły', 'idea', 'który', 'brakować', 'poczucie', 'rzeczywistość', 'realność', 'swój', 'plan', 'i', 'dlatego', 'sprawiać', 'wrażenie', 'komiczny']",,23
72,donkiszot,"(1, 2)",rzeczownik,wyjątkowo wysoki i chudy człowiek ,"['wyjątkowo', 'wysoki', 'i', 'chudy', 'człowiek']",,5
73,donkiszoteria,"(1, 1)",rzeczownik,"książk. postępowanie ,  zachowanie właściwe donkiszotowi ","['postępowanie', 'zachowanie', 'właściwy', 'donkiszot']",['książk.'],6
74,Donna,"(1, 1)",rzeczownik,,[],,0
75,Donna,"(1, 2)",rzeczownik,geogr. miasto w USA w stanie Teksas ;  zob. też Donna (Teksas) w Wikipedii ,"['miasto', 'w', 'USA', 'w', 'stan', 'Teksas']",['geogr.'],9
76,donośność,"(1, 1)",rzeczownik,"tego ,  co jest donośne ","['to', 'co', 'być', 'donośny']",,5
77,donośny,"(1, 1)",przymiotnik,"taki ,  który jest głośny ,  niesie się daleko ","['taki', 'który', 'być', 'głośny', 'nieść się', 'daleko']",,8
78,donos,"(1, 1)",rzeczownik,"zgłoszenie do władz o dokonaniu przez kogoś wykroczenia ,  przestępstwa albo o złamaniu obowiązujących norm ","['zgłoszenie', 'do', 'władze', 'o', 'dokonanie', 'przez', 'ktoś', 'wykroczenie', 'przestępstwo', 'albo', 'o', 'złamanie', 'obowiązywać', 'norma']",,15
79,donosić,"(1, 1)",czasownik przechodni niedokonany (dk. donieść),",  dostarczać do określonego miejsca ","['dostarczać', 'do', 'określony', 'miejsce']",,5
80,donosić,"(1, 2)",czasownik przechodni niedokonany (dk. donieść),uzupełniać brakujące rzeczy ,"['uzupełniać', 'brakować', 'rzecz']",,3
81,donosić,"(1, 3)",czasownik przechodni niedokonany (dk. donieść),o czymś ,"['o', 'coś']",,2
82,donosić,"(1, 4)",czasownik przechodni niedokonany (dk. donieść),"zawiadamiać o czymś władze ,  przełożonych ","['zawiadamiać', 'o', 'coś', 'władze', 'przełożony']",,6
83,donosić,"(2, 1)",czasownik przechodni dokonany (ndk. brak),przebyć ciążę do końca ,"['przebyć', 'ciąża', 'do', 'koniec']",,4
84,donosić,"(3, 1)",czasownik przechodni dokonany (ndk. donaszać),zużyć nosząc jakieś ubranie ,"['zużyć', 'nosić', 'jakiś', 'ubranie']",,4
85,donosiciel,"(1, 1)",rzeczownik,",  kto donosi ","['kto', 'donosić']",,3
86,donosicielka,"(1, 1)",rzeczownik,",  która na kogoś donosi ","['który', 'na', 'ktoś', 'donosić']",,5
87,donosicielski,"(1, 1)",przymiotnik relacyjny,"z donosicielem ,  donoszeniem ,  dotyczący donosiciela lub donoszenia ","['z', 'donosiciel', 'donoszenie', 'dotyczyć', 'donosiciel', 'lub', 'donoszenie']",,9
88,donosicielstwo,"(1, 1)",rzeczownik,donoszenie do władz lub przełożonych ,"['donoszenie', 'do', 'władza', 'lub', 'przełożony']",,5
89,donoszenie,"(1, 1)",rzeczownik,od donosić ,[],,2
90,doodbytniczy,"(1, 1)",przymiotnik relacyjny,",  który stosuje się wkładając do odbytu ","['który', 'stosować', 'się', 'wkładać', 'do', 'odbyt']",,7
91,dookoła,"(1, 1)",przysłówek,wszystkich stron punktu położonego w środku ,"['wszystek', 'strona', 'punkt', 'położyć', 'w', 'środek']",,6
92,dookoła,"(1, 2)",przysłówek,"służy do określenia głównego tematu rozmowy ,  myśli itp. ","['służyć', 'do', 'określenie', 'główny', 'temat', 'rozmowa', 'myśl', 'itp.']",['itp.'],9
93,doo wop,"(1, 1)",fraza rzeczownikowa,"muz. styl w muzyce rhythm and bluesowej popularny w latach 50. XX   w. oparty na utworach a cappella ,  w których wokaliście towarzyszył kilkuosobowy chórek tworzący wokalizujący akompaniament ;  zob. też doo wop w Wikipedii ","['styl', 'w', 'muzyka', 'rhythm and blues', 'popularny', 'w', 'lata', '50.', 'XX', 'w.', 'oprzeć', 'na', 'utwór', 'a cappella', 'w', 'który', 'wokalista', 'towarzyszyć', 'kilkuosobowy', 'chórek', 'tworzyć', 'wokalizować', 'akompaniament']","['muz.', '50.', 'w.']",28
94,dopóki,"(1, 1)",spójnik wprowadzający zdanie podrzędne,,[],,0
95,dopóki,"(1, 2)",spójnik wprowadzający zdanie podrzędne,,[],,0
96,dopóty,"(1, 1)",spójnik,,[],,0
97,"dopóty dzban wodę nosi, dopóki mu się ucho nie urwie","(1, 1)",przysłowie polskie,ma swoje granice wytrzymałości ,"['mieć', 'swój', 'granica', 'wytrzymałość']",,4
98,dopłacenie,"(1, 1)",rzeczownik,rzecz. odczas. od dopłacić ,[],['rzecz. odczas.'],3
99,dopłacić,"(1, 1)",czasownik przechodni dokonany (ndk. dopłacać),dopłacać ,[],,1
100,dopłata,"(1, 1)",rzeczownik,"dodatkowej opłaty ,  dopłacenie ","['dodatkowy', 'opłata', 'dopłacenie']",,4
101,dopłata,"(1, 2)",rzeczownik,opłacona kwota ,"['opłacić', 'kwota']",,2
102,dopływ,"(1, 1)",rzeczownik,"docierania cieczy ,  energii itp. do określonego miejsca ","['docieranie', 'ciecz', 'energia', 'itp.', 'do', 'określony', 'miejsce']",['itp.'],8
103,dopływ,"(1, 2)",rzeczownik,"hydrol. rzeka ,  która uchodzi do innej rzeki lub jeziora ","['rzeka', 'który', 'uchodzić', 'do', 'inny', 'rzeka', 'lub', 'jezioro']",['hydrol.'],10
104,dopływać,"(1, 1)",czasownik nieprzechodni niedokonany (dk. dopłynąć),",  osiągać cel ","['osiągać', 'cel']",,3
105,dopływać,"(1, 2)",czasownik nieprzechodni niedokonany (dk. dopłynąć),docierać do określonego miejsca ,"['docierać', 'do', 'określony', 'miejsce']",,4
106,dop,"(1, 1)",rzeczownik,środ. eduk. ocena dopuszczająca  ( w polskim systemie edukacji od roku 1 9 9 9 ) ,"['ocena', 'dopuszczający', 'w', 'polski', 'system', 'edukacja', 'od', 'rok', '1000', '900', '90', '9']","['środ.', 'eduk.']",16
107,dopalacz,"(1, 1)",rzeczownik,techn. lotn. w silniku turboodrzutowym: urządzenie stosowane do spalania dodatkowego paliwa za turbiną w celu zwiększenia siły ciągu silnika ;  zob. też dopalacz (lotnictwo) w Wikipedii ,"['urządzenie', 'stosować', 'do', 'spalanie', 'dodatkowy', 'paliwo', 'za', 'turbina', 'w celu', 'zwiększenie', 'siła', 'ciąg', 'silnik']","['techn.', 'lotn.']",18
108,dopalacz,"(1, 2)",rzeczownik,mot. urządzenie w układzie wydechowym silnika samochodowego umożliwiające utlenianie palnych składników spalin i zmniejszające ich toksyczność ;  zob. też dopalacz (motoryzacja) w Wikipedii ,"['urządzenie', 'w', 'układ', 'wydechowy', 'silnik', 'samochodowy', 'umożliwiać', 'utlenianie', 'palny', 'składnik', 'spaliny', 'i', 'zmniejszać', 'ich', 'toksyczność']",['mot.'],18
109,dopalacz,"(1, 3)",rzeczownik,substancja psychoaktywna o działaniu stymulującym ,"['substancja', 'psychoaktywny', 'o', 'działanie', 'stymulować']",,5
110,dopalenie,"(1, 1)",rzeczownik,od dopalić ,[],,2
111,dopalić,"(1, 1)",czasownik przechodni dokonany (ndk. dopalać),dopalać ,[],,1
112,dopamina,"(1, 1)",rzeczownik,"fizj. neurohormon ,  ważny neuroprzekaźnik syntezowany i uwalniany przez dopaminergiczne neurony ośrodkowego układu nerwowego ;  zob. też dopamina w Wikipedii ","['neurohormon', 'ważny', 'neuroprzekaźnik', 'syntezować', 'i', 'uwalniać', 'przez', 'dopaminergiczny', 'neuron', 'ośrodkowy układ nerwowy']",['fizj.'],14
113,dopasować,"(1, 1)",czasownik przechodni dokonany (ndk. dopasowywać),"trafnie ,  coś co idealnie pasuje ","['trafnie', 'coś', 'co', 'idealnie', 'pasować']",,6
114,dopasowanie,"(1, 1)",rzeczownik,rzecz. odczas. od dopasować ,[],['rzecz. odczas.'],3
115,dopasowywać,"(1, 1)",czasownik przechodni niedokonany (dk. dopasować),"różne elementy tak ,  by pasowały do siebie ","['różny', 'element', 'tak', 'by', 'pasować', 'do', 'siebie']",,8
116,dopasowywać,"(1, 2)",czasownik przechodni niedokonany (dk. dopasować),"do siebie części ,  aby stanowiły właściwą całość ","['do', 'siebie', 'część', 'aby', 'stanowić', 'właściwy', 'całość']",,8
117,dopasowywać,"(1, 3)",czasownik przechodni niedokonany (dk. dopasować),"coś na  czymś,  aby dobrze przylegało ","['coś', 'na', 'aby', 'dobrze', 'przylegać']",,6
118,dopasowywać,"(2, 1)",czasownik zwrotny niedokonany dopasowywać się (dk. dopasować się),do kogoś lub czegoś ,"['do', 'ktoś', 'lub', 'coś']",,4
119,dopełnić,"(1, 1)",czasownik przechodni dokonany (ndk. dopełniać),dopełniać ,[],,1
120,dopełnić,"(2, 1)",czasownik zwrotny dokonany dopełnić się (ndk. dopełniać się),dopełniać się ,[],,1
121,dopełniać,"(1, 1)",czasownik przechodni niedokonany (dk. dopełnić),do całości ,"['do', 'całość']",,2
122,dopełniać,"(1, 2)",czasownik przechodni niedokonany (dk. dopełnić),"powinności ,  by coś zakończyć ","['powinność', 'by', 'coś', 'zakończyć']",,5
123,dopełniać,"(2, 1)",czasownik zwrotny niedokonany dopełniać się (dk. dopełnić się),"nawzajem ,  tworząc odpowiednią całość ","['nawzajem', 'tworzyć', 'odpowiedni', 'całość']",,5
124,dopełniać,"(2, 2)",czasownik zwrotny niedokonany dopełniać się (dk. dopełnić się),realnym ,['realny'],,1
125,dopełniacz,"(1, 1)",rzeczownik,"drugi przypadek deklinacji ,  odpowiada na pytania :  kogo? czego? ;  zob. też dopełniacz (przypadek) w Wikipedii ","['drugi', 'przypadek', 'deklinacja', 'odpowiadać', 'na', 'pytanie']",,11
126,dopełniaczowy,"(1, 1)",przymiotnik relacyjny,"gram. związany z dopełniaczrm ,  dotyczący dopełniacza ","['związany', 'z', 'dopełniacz', 'dotyczyć', 'dopełniacz']",['gram.'],7
127,dopełnianie,"(1, 1)",rzeczownik,od dopełniać ,[],,2
128,dopełnienie,"(1, 1)",rzeczownik,od dopełnić ,[],,2
129,dopełnienie,"(1, 2)",rzeczownik,dopełniająca całość ,"['dopełniać', 'całość']",,2
130,dopełnienie,"(1, 3)",rzeczownik,część zdania oznaczająca przedmiot wykonywanej czynności ;  zob. też dopełnienie w Wikipedii ,"['część zdania', 'oznaczać', 'przedmiot', 'wykonywać', 'czynność']",,7
131,dopełnienie,"(1, 4)",rzeczownik,zbiór elementów nie należących do danego zbioru ;  zob. też dopełnienie zbioru w Wikipedii ,"['zbiór', 'element', 'nie', 'należeć', 'do', 'dany', 'zbiór']",,9
132,dopiąć,"(1, 1)",czasownik przechodni dokonany (ndk. dopinać),dopinać ,[],,1
133,dopić,"(1, 1)",czasownik przechodni dokonany,"picie czegoś ,  co już było wcześniej pite ","['pić', 'coś', 'co', 'już', 'być', 'wcześnie', 'pić']",,8
134,dopięcie,"(1, 1)",rzeczownik,zapięcia czegoś rozpiętego ,"['zapięcie', 'coś', 'rozpięty']",,3
135,dopięcie,"(1, 2)",rzeczownik,osiągnięcie czegoś ,"['osiągnięcie', 'coś']",,2
136,dopieprzanie,"(1, 1)",rzeczownik,rzecz. odczas. od dopieprzać ,[],['rzecz. odczas.'],3
137,dopierdalać,"(1, 1)",czasownik przechodni,dodawać w nadmiarze ,"['dodawać', 'w', 'nadmiar']",,3
138,dopierdalać,"(1, 2)",czasownik przechodni,bić ,['bić'],,1
139,dopierdalać,"(1, 3)",czasownik przechodni,gadać głupoty ,"['gadać', 'głupota']",,2
140,dopierdalać,"(2, 1)",czasownik zwrotny,"czepiać się ,  nagabywać ,  dręczyć o coś ,  robić komuś uwagi ","['czepiać się', 'nagabywać', 'dręczyć', 'o', 'coś', 'robić', 'ktoś', 'uwaga']",,11
141,dopierdalanie,"(1, 1)",rzeczownik,rzecz. odczas. od dopierdalać ,[],['rzecz. odczas.'],3
142,dopieroż,"(1, 1)",partykuła,"przest. a wówczas ,  a potem ","['a', 'wówczas', 'a', 'potem']",['przest.'],6
143,dopieroż,"(1, 2)",partykuła,"no to ,  a więc ","['no', 'to', 'a', 'więc']",,5
144,dopieroż,"(1, 3)",partykuła,"cóż dopiero ,  tym bardziej ","['cóż', 'dopiero', 'tym', 'bardzo']",,5
145,dopieroż,"(1, 4)",partykuła,"…wzmacniająca: w funkcji wykrzyknika, wyraz zdumienia, zaskoczenia itp. ",[],"['…wzmacniająca: w funkcji wykrzyknika, wyraz zdumienia, zaskoczenia itp.']",1
146,dopiero,"(1, 1)",partykuła,",  że coś jest małe lub niewystarczające ","['że', 'coś', 'być', 'mały', 'lub', 'niewystarczający']",,7
147,dopiero,"(1, 2)",partykuła,"o czymś ,  co ma wydarzyć się późno ,  później niż oczekiwano ","['o', 'coś', 'co', 'mieć', 'wydarzyć się', 'późno', 'późno', 'niż', 'oczekiwać']",,11
148,dopiero,"(1, 3)",partykuła,warunku ,['warunek'],,1
149,dopiero,"(1, 4)",partykuła," →  przed chwilą ,  bardzo niedawno ","['przed', 'chwila', 'bardzo', 'niedawno']",,6
150,dopiero,"(2, 1)",wykrzyknik,szczególności ,['szczególność'],,1
151,dopiero co,"(1, 1)",fraza przysłówkowa,chwilą ,['chwila'],,1
152,dopieszczać,"(1, 1)",czasownik,poprawkami czynić coś dobrego jeszcze lepszym ,"['poprawka', 'czynić', 'coś', 'dobry', 'jeszcze', 'lepszy']",,6
153,dopieszczanie,"(1, 1)",rzeczownik,rzecz. odczas. od dopieszczać ,[],['rzecz. odczas.'],3
154,dopilnować,"(1, 1)",czasownik przechodni dokonany (ndk. dopilnowywać),dopilnowywać ,[],,1
155,dopilnowanie,"(1, 1)",rzeczownik,od dopilnować ,[],,2
156,doping,"(1, 1)",rzeczownik,"zachęcanie kogoś do walki przez okrzyki ,  śpiewy itp. ","['zachęcanie', 'ktoś', 'do', 'walka', 'przez', 'okrzyk', 'śpiew', 'itp.']",['itp.'],9
157,doping,"(1, 2)",rzeczownik,"zwiększanie swoich możliwości fizycznych przez stosowanie substancji nielegalnych lub dozwolonych ,  ale w zbyt dużej ilości ","['zwiększanie', 'swój', 'możliwość', 'fizyczny', 'przez', 'stosowanie', 'substancja', 'nielegalny', 'lub', 'dozwolony', 'ale', 'w', 'zbyt', 'duży', 'ilość']",,16
158,doping,"(1, 3)",rzeczownik,środek farmakologiczny przyjmowany w celu zwiększenia wydolności organizmu ,"['środek', 'farmakologiczny', 'przyjmować', 'w celu', 'zwiększenie', 'wydolność', 'organizm']",,7
