,Name,Sign,Type,Definition,Other_words,Indexes,No_words
17,Berno,"(1, 3)",rzeczownik,daw. Brno ,['Brno'],['daw.'],2
18,bernolakowski,"(1, 1)",przymiotnik,ze słowackim językoznawcą Antonem Bernolákiem i opracowanym przez niego standardem języka słowackiego ,"['ze', 'słowacki', 'językoznawca', 'w:Anton Bernolák', 'i', 'opracować', 'przez', 'on', 'standard', 'język', 'słowacki']",,11
19,bernsztajn,"(1, 1)",rzeczownik,gw. (Górny Śląsk) miner. bursztyn ,['bursztyn'],"['gw.', 'miner.']",4
20,bersalier,"(1, 1)",rzeczownik,wojsk. żołnierz włoskiej lekkiej piechoty zmechanizowanej ;  zob. też bersalierzy w Wikipedii ,"['żołnierz', 'włoski', 'lekki', 'piechota', 'zmechanizowany']",['wojsk.'],8
21,bersalierski,"(1, 1)",przymiotnik relacyjny,"hist. wojsk. związany z bersalierem ,  bersalierami ,  dotyczący bersaliera ","['związać', 'z', 'bersalier', 'bersalier', 'dotyczyć', 'bersalier']","['hist.', 'wojsk.']",10
22,Berta,"(1, 1)",rzeczownik,;  zob. też Berta w Wikipedii ,[],,2
23,bertone,"(1, 1)",rzeczownik,mot. samochód zaprojektowany i/lub produkowany przez włoskie przedsiębiorstwo Bertone ,"['samochód', 'zaprojektować', 'i/lub', 'produkować', 'przez', 'włoski', 'przedsiębiorstwo', 'w:Bertone']",['mot.'],9
24,bertonka,"(1, 1)",rzeczownik,pot. mot. samochód zaprojektowany lub produkowany przez włoskie przedsiębiorstwo Bertone ,"['samochód', 'zaprojektować', 'lub', 'produkować', 'przez', 'włoski', 'przedsiębiorstwo', 'w:Bertone']","['pot.', 'mot.']",10
25,Berwianka,"(1, 1)",rzeczownik,"geogr. hydrol. rzeka na Białorusi ,  na Grodzieńszczyźnie ,  prawy dopływ Pyranki ","['rzeka', 'na', 'Białoruś', 'na', 'Grodzieńszczyzna', 'prawy', 'dopływ', 'Pyranka']","['geogr.', 'hydrol.']",12
26,beryl,"(1, 1)",rzeczownik,chem. pierwiastek chemiczny o symbolu Be i liczbie atomowej 4 ;  zob. też beryl (pierwiastek) w Wikipedii ,"['pierwiastek chemiczny', 'o', 'symbol', 'Be', 'i', 'liczba atomowa', '4']",['chem.'],10
27,beryl,"(1, 2)",rzeczownik,minerał należący do grupy krzemianów pierścieniowych ;  zob. też beryl (minerał) w Wikipedii ,"['minerał', 'należeć', 'do', 'grupa', 'krzemian', 'pierścieniowy']",,8
28,beryl,"(2, 1)",rzeczownik,karabinek automatyczny wyprodukowany przez Fabrykę Broni „Łucznik” ;  zob. też Karabinek wz. 96 Beryl w Wikipedii ,"['karabinek', 'automatyczny', 'wyprodukować', 'przez', 'w:Fabryka Broni „Łucznik”']",,7
29,beryllonit,"(1, 1)",rzeczownik,minerał ;  zob. też beryllonit w Wikipedii ,['minerał'],,3
30,berylowy,"(1, 1)",przymiotnik,"berylu ,  związany z berylem ","['beryl', 'związany', 'z', 'beryl']",,5
31,beryloza,"(1, 1)",rzeczownik,med. przewlekła choroba układu oddechowego powodowana kontaktem z pyłem berylowym ;  zob. też beryloza w Wikipedii ,"['przewlekły', 'choroba', 'układ oddechowy', 'powodować', 'kontakt', 'z', 'pył', 'beryl']",['med.'],11
32,besan,"(1, 1)",rzeczownik,"spoż. mąka z ciecierzycy ,  częsty składnik regionalnych kuchni na subkontynencie indyjskim ;  zob. też besan w Wikipedii ","['mąka', 'z', 'ciecierzyca', 'częsty', 'składnik', 'regionalny', 'kuchnia', 'na', 'subkontynent', 'indyjski']",['spoż.'],14
33,Besarabczyk,"(1, 1)",rzeczownik,Besarabii ;  osoba z tej krainy ,"['Besarabia', 'osoba', 'z', 'ta', 'kraina']",,6
34,Besarabia,"(1, 1)",rzeczownik,"geogr. kraina położona między Dniestrem a Prutem ,  obecnie podzielona między Mołdawię i Ukrainę ;  zob. też Besarabia w Wikipedii ","['kraina', 'położyć', 'między', 'Dniestr', 'a', 'Prut', 'obecnie', 'podzielić', 'między', 'Mołdawia', 'i', 'Ukraina']",['geogr.'],16
35,Besarabka,"(1, 1)",rzeczownik,Besarabii ;  kobieta z tej krainy ,"['Besarabia', 'kobieta', 'z', 'ta', 'kraina']",,6
36,besarabski,"(1, 1)",przymiotnik relacyjny,"z Besarabią ,  dotyczący Besarabii ","['z', 'Besarabia', 'dotyczyć', 'Besarabia']",,5
37,besemerowanie,"(1, 1)",rzeczownik,hutn. wytapianie stali o bardzo niskiej zawartości siarki i fosforu  w  konwertorze Bessemera ,"['wytapianie', 'stal', 'o', 'bardzo', 'niski', 'zawartość', 'siarka', 'i', 'fosfor', 'konwertor', 'w:Henry Bessemer']",['hutn.'],13
38,besemerowanie,"(1, 2)",rzeczownik,odzyskiwanie miedzi z kamienia hutniczego ,"['odzyskiwanie', 'miedź', 'z', 'kamień', 'hutniczy']",,5
39,besemerowski,"(1, 1)",przymiotnik relacyjny,z procesem uzyskiwania stali wynalezionym przez Henry'ego Bessemera ,"['z', 'proces', 'uzyskiwać', 'stal', 'wynaleźć', 'przez', 'w:Henry Bessemer']",,7
40,Beskid,"(1, 1)",rzeczownik,geogr. szczyt w Tatrach Zachodnich ,"['szczyt', 'w', 'Tatry', 'zachodni']",['geogr.'],5
41,Beskid,"(1, 2)",rzeczownik,szczyt w Beskidzie Niskim ,"['szczyt', 'w', 'Beskid Niski']",,3
42,Beskid,"(1, 3)",rzeczownik,szczyt w Beskidzie Śląskim ,"['szczyt', 'w', 'Beskid Śląski']",,3
43,Beskid,"(1, 4)",rzeczownik,"potok ,  dopływ Bielczy ","['potok', 'dopływ', 'Bielcza']",,4
44,Beskid,"(1, 5)",rzeczownik,"potok ,  dopływ Kseni ","['potok', 'dopływ', 'Ksenia']",,4
45,Beskid,"(1, 6)",rzeczownik,"potok ,  dopływ Wilszni ","['potok', 'dopływ', 'Wilsznia']",,4
46,Beskid,"(1, 7)",rzeczownik,"wieś na Ukrainie , w  obwodzie lwowskim ","['wieś', 'na', 'Ukraina', 'obwód', 'lwowski']",,6
47,Beskidek,"(1, 1)",rzeczownik,"geogr. góra w Polsce ,  w Beskidzie Śląskim ,  w paśmie Baraniej Góry ;  zob. też Beskidek (Beskid Śląski) w Wikipedii ","['góra', 'w', 'Polska', 'w', 'Beskid Śląski', 'w', 'pasmo', 'Barania Góra']",['geogr.'],13
48,Beskidek,"(1, 2)",rzeczownik,jeden z wierzchołków Czerniawy Suchej w Beskidzie Makowskim ,"['jeden', 'z', 'wierzchołek', 'Czerniawa Sucha', 'w', 'Beskid Makowskim']",,6
49,Beskidek,"(1, 3)",rzeczownik,góra w Beskidzie Niskim ;  zob. też Beskidek (Beskid Niski) w Wikipedii ,"['góra', 'w', 'Beskid Niski']",,5
50,Beskidek,"(1, 4)",rzeczownik,"potok w Polsce ,  w Beskidzie Śląskim ","['potok', 'w', 'Polska', 'w', 'Beskid Śląski']",,6
51,Beskidek,"(1, 5)",rzeczownik,"część miasta Szczyrk w Polsce ,  w województwie śląskim ,  w powiecie bielskim ","['część', 'miasto', 'Szczyrk', 'w', 'Polska', 'w', 'województwo śląskie', 'w', 'powiat', 'bielski']",,12
52,Beskidek,"(1, 6)",rzeczownik,"część miasta Ustroń ,  w województwie śląskim ,  w powiecie cieszyńskim ","['część', 'miasto', 'Ustroń', 'w', 'województwo śląskie', 'w', 'powiat', 'cieszyński']",,10
53,Beskidek,"(1, 7)",rzeczownik,"przysiółek wsi Koszarawa ,  w województwie śląskim ,  w powiecie żywieckim ","['przysiółek', 'wieś', 'Koszarawa', 'w', 'województwo śląskie', 'w', 'powiat', 'żywiecki']",,10
54,beskidnik,"(1, 1)",rzeczownik,reg. zbójnik operujący w Beskidach ,"['zbójnik', 'operować', 'w', 'Beskidy']",['reg.'],5
55,Beskidy,"(1, 1)",rzeczownik,geogr. pasmo górskie w Karpatach zewnętrznych ;  zob. też Beskidy w Wikipedii ,"['pasmo', 'górski', 'w', 'Karpaty', 'zewnętrzny']",['geogr.'],8
56,Beskidy Zachodnie,"(1, 1)",fraza rzeczownikowa,geogr. pasmo górskie w Karpatach zewnętrznych ;  zob. też Beskidy Zachodnie w Wikipedii ,"['pasmo', 'górski', 'w', 'Karpaty', 'zewnętrzny']",['geogr.'],8
57,beskidzki,"(1, 1)",przymiotnik relacyjny,"Beskidów ,  związany z Beskidami ,  pochodzący z Beskidów ","['Beskidy', 'związać', 'z', 'Beskidy', 'pochodzić', 'z', 'Beskidy']",,9
58,beskidzkość,"(1, 1)",rzeczownik,"tego ,  co jest beskidzkie ","['to', 'co', 'być', 'beskidzki']",,5
59,beskidzko,"(1, 1)",przysłówek,"sposób beskidzki ,  po beskidzku ","['sposób', 'beskidzki', 'po', 'beskidzki']",,5
60,Beskid Śląski,"(1, 1)",fraza rzeczownikowa,geogr. pasmo górskie w Karpatach zewnętrznych ;  zob. też Beskid Śląski w Wikipedii ,"['pasmo', 'górski', 'w', 'Karpaty', 'zewnętrzny']",['geogr.'],8
61,Beskid Niski,"(1, 1)",fraza rzeczownikowa,geogr. pasmo górskie w Karpatach ;  zob. też Beskid Niski w Wikipedii ,"['pasmo', 'górski', 'w', 'Karpaty']",['geogr.'],7
62,Beskid Wyspowy,"(1, 1)",fraza rzeczownikowa,geogr. pasmo górskie w Karpatach zewnętrznych ;  zob. też Beskid Wyspowy w Wikipedii ,"['pasmo', 'górski', 'w', 'Karpaty', 'zewnętrzny']",['geogr.'],8
63,beskuryja,"(1, 1)",rzeczownik,"gw. (Śląsk Cieszyński) hultaj ,  cwaniak ","['hultaj', 'cwaniak']",['gw.'],5
64,besowy,"(1, 1)",przymiotnik,"gw. (Łowicz) liliowy ,  w kolorze bzu ","['liliowy', 'w', 'kolor', 'bez']",['gw.'],7
65,bessa,"(1, 1)",rzeczownik,"obniżenie kursu papierów wartościowych ,  cen towarów lub innych aktywów notowanych na giełdach ;  zob. też bessa w Wikipedii ","['obniżyć', 'kurs', 'papier wartościowy', 'cena', 'towar', 'lub', 'inny', 'aktywo', 'notowany', 'na', 'giełda']",,14
66,bessemerowski,"(1, 1)",przymiotnik,zob. besemerowski ,[],['zob.'],2
67,besserwisser,"(1, 1)",rzeczownik,"ktoś bezkrytycznie przekonany o swojej wiedzy ,  o tym że zna się na czymś najlepiej ","['ktoś', 'bezkrytycznie', 'przekonany', 'o', 'swój', 'wiedza', 'o', 'to', 'że', 'znać się', 'na', 'coś', 'dobrze']",,14
68,besserwisserski,"(1, 1)",przymiotnik,"jak besserwisser ,  przemądrzały ,  zarozumiały ","['jak', 'besserwisser', 'przemądrzały', 'zarozumiały']",,6
69,bestia,"(1, 1)",rzeczownik,",  drapieżne zwierzę ","['drapieżny', 'zwierzę']",,3
70,bestia,"(1, 2)",rzeczownik,"zły człowiek ,  kanalia ","['zły', 'człowiek', 'kanalia']",,4
71,bestialski,"(1, 1)",przymiotnik,"okrutny ,  niezwykle brutalny ","['okrutny', 'niezwykle', 'brutalny']",,4
72,bestialsko,"(1, 1)",przysłówek,sposób bestialski ,"['sposób', 'bestialski']",,2
73,bestiarium,"(1, 1)",rzeczownik,",  utwór ,  w którym używa się motywów zwierzęcych w celu ukazania zasad religijnych  i  etycznych ","['utwór', 'w', 'który', 'używać', 'się', 'motyw', 'zwierzęcy', 'w celu', 'ukazanie', 'zasada', 'religijny', 'etyczny']",,15
74,bestry,"(1, 1)",przymiotnik,reg. pozn. pstry ,['pstry'],['reg. pozn.'],2
75,bestseler,"(1, 1)",rzeczownik,"sprzedająca się książka ,  utwór muzyczny  ( płyta ),  filmowy czy inny ","['sprzedawać się', 'książka', 'utwór', 'muzyczny', 'płyta', 'filmowy', 'czy', 'inny']",,11
76,bestseller,"(1, 1)",rzeczownik,"sprzedająca się książka ,  utwór muzyczny  ( płyta ),  filmowy czy inny ","['sprzedawać się', 'książka', 'utwór', 'muzyczny', 'płyta', 'filmowy', 'czy', 'inny']",,11
77,Bestwina,"(1, 1)",rzeczownik,wieś w Polsce w pobliżu Bielska-Białej ;  zob. też Bestwina w Wikipedii ,"['wieś', 'w', 'Polska', 'w pobliżu', 'Bielsko-Biała']",,7
78,bestyjo,"(1, 1)",rzeczownik,gw. (Górny Śląsk) bestia ,['bestia'],['gw.'],3
79,beszamel,"(1, 1)",rzeczownik,"gęsty sos przyrządzany z masła ,  mąki ,  jajek i mleka lub śmietany ;  zob. też beszamel w Wikipedii ","['gęsty', 'sos', 'przyrządzać', 'z', 'masło', 'mąka', 'jajko', 'i', 'mleko', 'lub', 'śmietana']",,15
80,beszperactwi,"(1, 1)",rzeczownik,"gw. (Śląsk Cieszyński) gałgaństwo ,  niewłaściwe postępowanie ","['gałgaństwo', 'niewłaściwy', 'postępowanie']",['gw.'],6
81,beszperactwo,"(1, 1)",rzeczownik,"gw. (Śląsk Cieszyński) gałgaństwo ,  niewłaściwe postępowanie ","['gałgaństwo', 'niewłaściwy', 'postępowanie']",['gw.'],6
82,besztać,"(1, 1)",czasownik,strofować ,['strofować'],,1
83,besztanie,"(1, 1)",rzeczownik,rzecz. odczas. od besztać ,[],['rzecz. odczas.'],3
84,bet,"(1, 1)",rzeczownik,zgrub. od: becik ,['becik'],['zgrub.'],3
85,bet,"(1, 2)",rzeczownik,pościel ,['pościel'],,1
86,bet,"(1, 3)",rzeczownik,"litera alfabetów semickich :  m.in. fenickiego ,  aramejskiego ,  arabskiego  ( ب ),  hebrajskiego  ( ב ),  syryjskiego  ( ܒ );  zob. też bet w Wikipedii ","['litera', 'alfabet', 'semicki', 'm.in.', 'fenicki', 'aramejski', 'arabski', 'ب', 'hebrajski', 'ב', 'syryjski', 'ܒ']",['m.in.'],22
87,beta-karoten,"(1, 1)",rzeczownik,"prowitamina witaminy A ,  barwnik roślinny nadający niektórym owocom i warzywom pomarańczowy kolor ;  zob. też β-Karoten w Wikipedii ","['prowitamina', 'witamina', 'A', 'barwnik', 'roślinny', 'nadawać', 'niektóry', 'owoc', 'i', 'warzywo', 'pomarańczowy', 'kolor']",,15
88,beta-test,"(1, 1)",rzeczownik,"neol. jeden z końcowych etapów tworzenia produktu ,  na ogół oprogramowania ,  gry komputerowej ,  polegający na udostępnieniu jego nie dokończonej wersji wybranej grupie użytkowników celem znalezienia błędów ","['jeden', 'z', 'końcowy', 'etap', 'tworzenie', 'produkt', 'na ogół', 'oprogramowanie', 'gra komputerowa', 'polegać', 'na', 'udostępnienie', 'jego', 'nie-', 'dokończyć', 'wersja', 'wybrać', 'grupa', 'użytkownik', 'cel', 'znalezienie', 'błąd']",['neol.'],26
89,beta,"(1, 1)",rzeczownik,"jęz. nazwa drugiej litery alfabetu greckiego ,  β ;  zob. też beta w Wikipedii ","['nazwa', 'drugi', 'litera', 'alfabet', 'grecki', 'β']",['jęz.'],10
90,betaaktywny,"(1, 1)",przymiotnik relacyjny,fiz. wytwarzający promieniowanie beta ,"['wytwarzać', 'promieniowanie', 'beta']",['fiz.'],4
91,betaina,"(1, 1)",rzeczownik,"chem. związek organiczny będący pochodną glicyny ,  występuje m.in. w burakach cukrowych ,  szpinaku czy pszenicy i stanowi produkt uboczny przemysłu cukrowniczego ;  zob. też N,N,N-Trimetyloglicyna w Wikipedii ","['związek organiczny', 'być', 'pochodna', 'glicyna', 'występować', 'm.in.', 'w', 'burak cukrowy', 'szpinak', 'czy', 'pszenica', 'i', 'stanowić', 'produkt', 'uboczny', 'przemysł', 'cukrowniczy']","['chem.', 'm.in.']",22
92,betaina,"(1, 2)",rzeczownik,"związek organiczny będący jonem obojnaczym ,  w którym ładunek dodatni nie sąsiaduje z ładunkiem ujemnym i zlokalizowany jest na atomie oniowym niepołączonym z żadnym atomem wodoru ;  zob. też betainy w Wikipedii ","['związek organiczny', 'być', 'jon obojnaczy', 'w', 'który', 'ładunek', 'dodatni', 'nie', 'sąsiadować', 'z', 'ładunek', 'ujemny', 'i', 'zlokalizowany', 'być', 'na', 'atom', 'oniowy', 'niepołączony', 'z', 'żaden', 'atom', 'wodór']",,26
93,betapromieniotwórczy,"(1, 1)",przymiotnik relacyjny,fiz. wytwarzający promieniowanie beta ,"['wytwarzać', 'promieniowanie', 'beta']",['fiz.'],4
94,betatronowy,"(1, 1)",przymiotnik relacyjny,"z betatronem ,  dotyczący betatronu ","['z', 'betatron', 'dotyczyć', 'betatron']",,5
95,Betel,"(1, 1)",rzeczownik,"geogr. bibl. miasto wymienione w Biblii ,  utożsamiane z ruinami w pobliżu miejscowości Bajtin na Zachodnim Brzegu ;  zob. też Betel (miasto biblijne) w Wikipedii ","['miasto', 'wymienić', 'w', 'Biblia', 'utożsamiać', 'z', 'ruina', 'w pobliżu', 'miejscowość', 'Bajtin', 'na', 'Zachodni Brzeg']","['geogr.', 'bibl.']",17
96,Betelgeza,"(1, 1)",rzeczownik,astr. czerwony nadolbrzym w Orionie ;  zob. też Betelgeza w Wikipedii ,"['czerwony nadolbrzym', 'w', 'Orion']",['astr.'],6
97,betelowy,"(1, 1)",przymiotnik,z betelem ,"['z', 'betel']",,2
98,Betesda,"(1, 1)",rzeczownik,bibl. hist. nazwa antycznej sadzawki zlokalizowanej w północnej części starej Jerozolimy ;  zob. też Sadzawka Owcza w Wikipedii ,"['nazwa', 'antyczny', 'sadzawka', 'zlokalizować', 'w', 'północny', 'część', 'stary', 'Jerozolima']","['bibl.', 'hist.']",13
99,betka,"(1, 1)",rzeczownik,"pot. gw. lichy ,  drobny nieszlachetny grzyb jadalny ","['lichy', 'drobny', 'nieszlachetny', 'grzyb', 'jadalny']","['pot.', 'gw.']",8
100,betka,"(1, 2)",rzeczownik,przen. coś mało istotnego ,"['coś', 'mało', 'istotny']",['przen.'],4
101,betleemski,"(1, 1)",przymiotnik,daw. betlejemski ,['betlejemski'],['daw.'],2
102,Betlejem,"(1, 1)",rzeczownik,miasto w środkowej części Palestyny ;  zob. też Betlejem w Wikipedii ,"['miasto', 'w', 'środkowy', 'część', 'Palestyna']",,7
103,betlejemczyk,"(1, 1)",rzeczownik,Betlejem ,['Betlejem'],,1
104,betlejemita,"(1, 1)",rzeczownik,Betlejem ,['Betlejem'],,1
105,betlejemitka,"(1, 1)",rzeczownik,Betlejem ,['Betlejem'],,1
106,betlejemka,"(1, 1)",rzeczownik,Betlejem ,['Betlejem'],,1
107,betlejemski,"(1, 1)",przymiotnik,"do Betlejem ,  związany z Betlejem ","['do', 'Betlejem', 'związany', 'z', 'Betlejem']",,6
108,betlejka,"(1, 1)",rzeczownik,"reg. model stajenki betlejemskiej ,  zwykle ze żłobkiem i figurkami ","['model', 'stajenka', 'betlejemski', 'zwykle', 'ze', 'żłobek', 'i', 'figura']",['reg.'],10
109,betlejym,"(1, 1)",rzeczownik,"gw. (Śląsk Cieszyński) szopka ,  jasełka ","['szopka', 'jasełka']",['gw.'],5
110,beton,"(1, 1)",rzeczownik,"materiał budowlany ,  powstały ze zmieszania piasku ,  żwiru lub innego kruszywa z roztworem materiałów wiążących ;  zob. też beton w Wikipedii ","['materiał', 'budowlany', 'powstać', 'ze', 'zmieszanie', 'piasek', 'żwir', 'lub', 'inny', 'kruszywo', 'z', 'roztwór', 'materiał', 'wiążący']",,18
111,beton,"(1, 2)",rzeczownik,iron. grupa konserwatystów lub nieusuwalnych notablów ,"['grupa', 'konserwatysta', 'lub', 'nieusuwalny', 'notabl']",['iron.'],6
112,beton,"(1, 3)",rzeczownik,przestępcze chleb ,['chleb'],,2
113,beton,"(1, 4)",rzeczownik,zawierający jako główne składniki becherowkę i tonik ,"['zawierać', 'jako', 'główny', 'składnik', 'becherowka', 'i', 'tonik']",,7
114,beton,"(2, 1)",rzeczownik,iron. konserwatysta lub nieusuwalny notabl ,"['konserwatysta', 'lub', 'nieusuwalny', 'notabl']",['iron.'],5
115,beton,"(2, 2)",rzeczownik,iron. człowiek słabo przyswajający nowe wiadomości ,"['człowiek', 'słabo', 'przyswajać', 'nowy', 'wiadomość']",['iron.'],6
116,betoniareczka,"(1, 1)",rzeczownik,zdrobn. od: betoniarka ,['betoniarka'],['zdrobn.'],3
117,betoniarka,"(1, 1)",rzeczownik,do wyrobu betonu ,"['do', 'wyrób', 'beton']",,3
118,betoniarka,"(1, 2)",rzeczownik,ciężarowy przystosowany do transportu mieszanki betonowej ,"['ciężarowy', 'przystosować', 'do', 'transport', 'mieszanka', 'betonowy']",,6
119,betoniarnia,"(1, 1)",rzeczownik,techn. wytwórnia wyrobów betonowych ,"['wytwórnia', 'wyrób', 'betonowy']",['techn.'],4
120,betoniarski,"(1, 1)",przymiotnik relacyjny,z osobą lub zawodem betoniarza ,"['z', 'osoba', 'lub', 'zawód', 'betoniarz']",,5
121,betoniarz,"(1, 1)",rzeczownik,wyrabiający beton i przedmioty z betonu lub zatrudniony przy betonowaniu czegoś ,"['wyrabiać', 'beton', 'i', 'przedmiot', 'z', 'beton', 'lub', 'zatrudnić', 'przy', 'betonowanie', 'coś']",,11
122,betonik,"(1, 1)",rzeczownik,zdrobn. od beton ,['beton'],['zdrobn.'],3
123,betonować,"(1, 1)",czasownik,coś betonem ,"['coś', 'beton']",,2
124,betonowanie,"(1, 1)",rzeczownik,lub pokrywanie czegoś betonem ,"['lub', 'pokrywanie', 'coś', 'beton']",,4
125,betonowy,"(1, 1)",przymiotnik,z betonu ,"['z', 'beton']",,2
126,beton partyjny,"(1, 1)",fraza rzeczownikowa,skrajnie zachowawcza frakcja partii ,"['skrajny', 'zachowawczy', 'frakcja', 'partia']",,4
127,bety,"(1, 1)",rzeczownik,pot. pościel ,['pościel'],['pot.'],2
128,bety,"(1, 2)",rzeczownik,rzeczy osobiste ,"['rzecz', 'osobisty']",,2
129,bety,"(1, 3)",rzeczownik,bukowski  pow. sanocki:  piżama ,['piżama'],,3
130,betycki,"(1, 1)",przymiotnik relacyjny,"z Betyką ,  dotyczący Betyki ","['z', 'Betyka', 'dotyczyć', 'Betyka']",,5
131,bezład,"(1, 1)",rzeczownik,"braku ładu ,  porządku ","['brak', 'ład', 'porządek']",,4
132,bezładnie,"(1, 1)",przysłówek sposobu,ładu ;  w bałaganie ;  bez organizacji ,"['ład', 'w', 'bałagan', 'bez', 'organizacja']",,7
133,bezładność,"(1, 1)",rzeczownik,"odprzym. cecha tego ,  co jest bezładne ;  cecha tych ,  którzy są bezładni ","['cecha', 'to', 'co', 'być', 'bezładny', 'cecha', 'ci', 'który', 'być', 'bezładny']",['odprzym.'],14
134,bezładny,"(1, 1)",przymiotnik,"ładu ,  porządku ","['ład', 'porządek']",,3
135,bezłodygowy,"(1, 1)",przymiotnik,"bot. taki ,  który nie posiada łodygi ","['taki', 'który', 'nie', 'posiadać', 'łodyga']",['bot.'],7
136,bezłuski,"(1, 1)",przymiotnik,"zool. nie mający łusek ,  nie pokryty łuskami ","['nie', 'mieć', 'łuska', 'nie', 'pokryć', 'łuska']",['zool.'],8
137,bezłuskowy,"(1, 1)",przymiotnik,"wojsk. o pocisku, amunicji: nie mający łuski ;  o broni: wykorzystujący takie pociski ","['nie', 'mieć', 'łuska', 'wykorzystywać', 'taki', 'pocisk']",['wojsk.'],10
138,bezśladowy,"(1, 1)",przymiotnik,zostawiający śladów ,"['zostawiać', 'ślad']",,2
139,bezśnieżny,"(1, 1)",przymiotnik,brakiem śniegu ,"['brak', 'śnieg']",,2
140,bezświetlność,"(1, 1)",rzeczownik,"odprzym. cecha tego ,  co jest bezświetlne ","['cecha', 'to', 'co', 'być', 'bezświetlny']",['odprzym.'],7
141,bezżądły,"(1, 1)",przymiotnik,",  który nie ma żądła ","['który', 'nie', 'mieć', 'żądło']",,5
142,bezżenność,"(1, 1)",rzeczownik,"odprzym. cecha tego ,  co jest bezżenne ;  cecha tych ,  którzy są bezżenni ","['cecha', 'to', 'co', 'być', 'bezżenny', 'cecha', 'ci', 'który', 'być', 'bezżenny']",['odprzym.'],14
143,bezżenny,"(1, 1)",przymiotnik,"nie mający żony ,  będący kawalerem ;  nie będący mężem ,  małżonkiem ","['nie', 'mieć', 'żona', 'być', 'kawaler', 'nie', 'być', 'mąż', 'małżonek']",,12
144,bez-,"(1, 1)",przedrostek,,[],,0
145,bez,"(1, 3)",rzeczownik,"uczn. ktoś ,  kto przyjmuje sterydy anaboliczne ","['ktoś', 'kto', 'przyjmować', 'steryd', 'anaboliczny']",['uczn.'],7
146,bez,"(2, 1)",przyimek,,[],,0
147,bez,"(2, 2)",przyimek,,[],,0
148,bez,"(2, 3)",przyimek,(Poznań i Górny Śląsk) przez (o przyczynie) ,['przez'],,3
149,bez,"(2, 4)",przyimek,(Bukowina i Białystok) przez (o przestrzeni) ,['przez'],,3
150,bez,"(3, 1)",rzeczownik,lm od: beza ,['beza'],,3
151,beza,"(1, 1)",rzeczownik,cuk. kulin. ciasto lub ciastko z białka ubitego z cukrem ;  zob. też beza w Wikipedii ,"['ciasto', 'lub', 'ciastko', 'z', 'białko', 'ubić', 'z', 'cukier']","['cuk.', 'kulin.']",12
152,bezacetonowy,"(1, 1)",przymiotnik,chem. nie zawierający acetonu ,"['nie-', 'zawierać', 'aceton']",['chem.'],4
